match_id,placement,augment0,augment1,augment2,Set7_Assassin,Set7_Bard,Set7_Bruiser,Set7_Cavalier,Set7_Dragon,Set7_Guardian,Set7_Guild,Set7_Legend,Set7_Mystic,Set7_Ragewing,Set7_Shimmerscale,Set7_Swiftshot,Set7_Tempest,Set7_Warrior,TFT7_Qiyana,TFT7_Shen,TFT7_Hecarim,TFT7_Hecarim_item0,TFT7_Hecarim_item1,TFT7_Hecarim_item2,TFT7_Talon,TFT7_Talon_item0,TFT7_Talon_item1,TFT7_Talon_item2,TFT7_Xayah,TFT7_Xayah_item0,TFT7_Xayah_item1,TFT7_Xayah_item2,TFT7_Ornn,TFT7_Ornn_item0,TFT7_Ornn_item1,TFT7_Ornn_item2,TFT7_DragonGold,TFT7_DragonGold_item0,TFT7_DragonGold_item1,TFT7_DragonGold_item2,TFT7_Bard,TFT7_Bard_item0,Set7_Cannoneer,Set7_Evoker,Set7_Revel,Set7_Scalescorn,Set7_Trainer,TFT7_Jinx,TFT7_Tristana,TFT7_Braum,TFT7_Lulu,TFT7_Lulu_item0,TFT7_Corki,TFT7_Corki_item0,TFT7_Corki_item1,TFT7_Corki_item2,TFT7_Sona,TFT7_Sona_item0,TFT7_TrainerDragon,TFT7_TrainerDragon_item0,Set7_Mage,Set7_Whispers,TFT7_Olaf,TFT7_Olaf_item0,TFT7_Olaf_item1,TFT7_Olaf_item2,TFT7_Sylas,TFT7_Sylas_item0,TFT7_Sylas_item1,TFT7_Sylas_item2,TFT7_Diana,TFT7_Diana_item0,TFT7_Pyke,TFT7_Pyke_item0,TFT7_Pyke_item1,Set7_Jade,Set7_Shapeshifter,TFT7_Gnar,TFT7_Anivia,TFT7_Anivia_item0,TFT7_Anivia_item1,TFT7_Anivia_item2,TFT7_Neeko,TFT7_Neeko_item0,TFT7_Neeko_item1,TFT7_Neeko_item2,TFT7_DragonGreen,TFT7_DragonGreen_item0,TFT7_DragonGreen_item1,TFT7_DragonGreen_item2,Set7_Astral,TFT7_Vladimir,TFT7_Skarner,TFT7_Nidalee,TFT7_Nidalee_item0,TFT7_Nidalee_item1,TFT7_Nami,TFT7_Nami_item0,TFT7_Nami_item1,TFT7_Nami_item2,TFT7_Ryze,TFT7_Varus,TFT7_Varus_item0,TFT7_Varus_item1,TFT7_Varus_item2,TFT7_Illaoi,TFT7_Illaoi_item0,Set7_Dragonmancer,Set7_Mirage,TFT7_Sejuani,TFT7_Nunu,TFT7_LeeSin,TFT7_Volibear,TFT7_Volibear_item0,TFT7_Volibear_item1,TFT7_Volibear_item2,TFT7_Yasuo,TFT7_Yasuo_item0,TFT7_Heimerdinger,TFT7_Illaoi_item1,Set7_SpellThief,TFT7_Thresh,TFT7_Ryze_item0,TFT7_Ryze_item1,TFT7_Ryze_item2,TFT7_Zoe,TFT7_Zoe_item0,TFT7_Yasuo_item1,TFT7_Twitch,TFT7_Twitch_item0,TFT7_Twitch_item1,Set7_Starcaller,TFT7_Nidalee_item2,TFT7_Gnar_item0,TFT7_Gnar_item1,TFT7_Gnar_item2,TFT7_Elise,TFT7_Swain,TFT7_Swain_item0,TFT7_Shyvana,TFT7_Shyvana_item0,TFT7_Shyvana_item1,TFT7_Shyvana_item2,TFT7_Soraka,TFT7_Soraka_item0,TFT7_Sett,TFT7_Ashe,TFT7_Swain_item1,TFT7_Swain_item2,TFT7_Kayn,TFT7_Tristana_item0,TFT7_Tristana_item1,TFT7_Sona_item1,TFT7_Sona_item2,TFT7_DragonPurple,TFT7_DragonPurple_item0,TFT7_DragonPurple_item1,TFT7_DragonPurple_item2,TFT7_Yasuo_item2,TFT7_Senna,TFT7_Lulu_item1,TFT7_Lulu_item2,TFT7_Taric,TFT7_Karma,TFT7_Ashe_item0,TFT7_Diana_item1,TFT7_LeeSin_item0,TFT7_LeeSin_item1,TFT7_Sejuani_item0,TFT7_Qiyana_item0,TFT7_Skarner_item0,TFT7_Skarner_item1,TFT7_Shen_item0,TFT7_Soraka_item1,TFT7_Zoe_item1,TFT7_AoShin,TFT7_AoShin_item0,TFT7_AoShin_item1,TFT7_AoShin_item2,TFT7_Elise_item0,TFT7_Elise_item1,TFT7_Elise_item2,TFT7_Karma_item0,TFT7_Shen_item1,TFT7_Shen_item2,TFT7_Pyke_item2,TFT7_Bard_item1,TFT7_Bard_item2,TFT7_Leona,TFT7_Leona_item0,TFT7_Leona_item1,TFT7_Leona_item2,TFT7_Taric_item0,TFT7_Taric_item1,TFT7_Taric_item2,TFT7_Ashe_item1,TFT7_Zoe_item2,TFT7_Tristana_item2,TFT7_TahmKench,TFT7_Lillia,TFT7_Lillia_item0,TFT7_Illaoi_item2,TFT7_Ezreal,TFT7_Jinx_item0,TFT7_Thresh_item0,TFT7_Braum_item0,TFT7_Diana_item2,TFT7_Lillia_item1,TFT7_LeeSin_item2,TFT7_Kayn_item0,TFT7_Kayn_item1,TFT7_Kayn_item2,TFT7_AurelionSol,TFT7_AurelionSol_item0,TFT7_AurelionSol_item1,TFT7_AurelionSol_item2,TFT7_Nunu_item0,TFT7_Nunu_item1,TFT7_Nunu_item2,TFT7_Ezreal_item0,TFT7_Ezreal_item1,TFT7_Qiyana_item1,TFT7_Qiyana_item2,TFT7_Lillia_item2,TFT7_Yone,TFT7_DragonBlue,TFT7_DragonBlue_item0,TFT7_DragonBlue_item1,TFT7_DragonBlue_item2,TFT7_Ashe_item2,TFT7_Jinx_item1,TFT7_Sett_item0,TFT7_Yone_item0,TFT7_Yone_item1,TFT7_TahmKench_item0,TFT7_Jinx_item2,TFT7_Sett_item1,TFT7_Karma_item1,TFT7_Karma_item2,TFT7_TahmKench_item1,TFT7_TahmKench_item2,TFT7_Vladimir_item0,TFT7_Braum_item1,TFT7_Twitch_item2,TFT7_Vladimir_item1,TFT7_Vladimir_item2,TFT7_Heimerdinger_item0,TFT7_Ezreal_item2,TFT7_Sett_item2,TFT7_Heimerdinger_item1,TFT7_Heimerdinger_item2,TFT7_Senna_item0,TFT7_Braum_item2,TFT7_Sejuani_item1,TFT7_Yone_item2,TFT7_Soraka_item2,TFT7_Sejuani_item2,TFT7_Skarner_item2,TFT7_Aatrox,TFT7_Thresh_item1,TFT7_Thresh_item2,TFT7_Aatrox_item0,TFT7_Aatrox_item1,TFT7_Senna_item1,TFT7_Senna_item2,TFT7_Aatrox_item2
OC1_526355348,3,TFT7_Augment_WarriorTrait,TFT7_Augment_WarriorTiamat,TFT6_Augment_PortableForge,1.0,,1.0,,1.0,,1.0,0.0,,0.0,,,2.0,2.0,,2.0,,,,,2.0,TFT_Item_Quicksilver,TFT_Item_InfinityEdge,TFT_Item_UnstableConcoction,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.0,TFT_Item_FrozenHeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,1.0,TFT4_Item_OrnnDeathsDefiance,,,,,,,,,,TFT_Item_TitansResolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TFT_Item_GuinsoosRageblade,,,,,,,,,,,,,,,,,2.0,TFT_Item_SpearOfShojin,TFT_Item_GuinsoosRageblade,TFT_Item_TearOfTheGoddess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC1_526355348,2,TFT6_Augment_ItemGrabBag1,TFT7_Augment_FirstAidKit2,TFT6_Augment_Ascension,,,,1.0,1.0,,,,,2.0,,1.0,,0.0,,,1.0,,,,,,,,2.0,TFT_Item_GuinsoosRageblade,TFT_Item_Quicksilver,TFT_Item_MadredsBloodrazor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,,,2.0,TFT_Item_RabadonsDeathcap,TFT_Item_GargoyleStoneplate,TFT_Item_TitansResolve,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,1.0,TFT_Item_FrozenHeart,,,,,,,,,,,,,,,,,,,,1.0,,1.0,TFT7_Item_CavalierEmblemItem,TFT_Item_RedBuff,TFT_Item_Redemption,,,,2.0,,,,,,,,,,,,,,,,,,TFT_Item_Zephyr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC1_526355348,4,TFT6_Augment_ThrillOfTheHunt1,TFT6_Augment_SecondWind2,TFT6_Augment_CyberneticImplants2,,1.0,0.0,2.0,1.0,1.0,2.0,,0.0,1.0,1.0,1.0,,0.0,,1.0,2.0,TFT_Item_FrozenHeart,TFT_Item_Redemption,,,,,,2.0,TFT_Item_GuinsoosRageblade,TFT7_Item_ShimmerscaleDravensAxe,TFT_Item_MadredsBloodrazor,,,,,2.0,TFT_Item_Redemption,TFT7_Item_CavalierEmblemItem,TFT_Item_BrambleVest,1.0,TFT_Item_ZekesHerald,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,TFT_Item_Deathblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TFT_Item_BFSword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TFT_Item_NeedlesslyLargeRod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TFT7_Item_CavalierEmblemItem,,,,,,,,,,,,,,,,,,,,,,,
OC1_526355348,5,TFT6_Augment_ItemGrabBag1,TFT6_Augment_RichGetRicherPlus,TFT7_Augment_GuildGearUpgrades,1.0,1.0,1.0,0.0,,,3.0,0.0,0.0,1.0,,1.0,1.0,0.0,2.0,2.0,1.0,,,,1.0,TFT_Item_InfinityEdge,TFT_Item_LastWhisper,,2.0,TFT_Item_InfinityEdge,TFT_Item_MadredsBloodrazor,TFT_Item_GuinsoosRageblade,2.0,TFT_Item_Redemption,TFT_Item_RedBuff,TFT_Item_BrambleVest,,,,,1.0,TFT_Item_ChainVest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC1_526336654,6,TFT7_Augment_GuardianEmblem,TFT7_Augment_AxiomArc1,TFT7_Augment_GadgetExpert,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,TFT_Item_BrambleVest,TFT_Item_WarmogsArmor,TFT7_Item_ShimmerscaleGoldmancersStaff,1.0,,1.0,1.0,1.0,,1.0,,2.0,,2.0,TFT_Item_StatikkShiv,1.0,TFT_Item_GuinsoosRageblade,TFT_Item_RunaansHurricane,TFT_Item_Deathblade,2.0,TFT_Item_ThiefsGloves,4.0,TFT7_Item_TrainerSnax,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,TFT_Item_GiantsBelt,TFT_Item_PowerGauntlet,,,,,,,TFT7_Item_GuardianEmblemItem,TFT_Item_LocketOfTheIronSolari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC1_526336654,8,TFT6_Augment_PortableForge,TFT7_Augment_DragonmancerTrait,TFT6_Augment_CyberneticImplants2,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,TFT_Item_WarmogsArmor,TFT_Item_DragonsClaw,TFT_Item_TitansResolve,1.0,,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,2.0,TFT_Item_Shroud,2.0,TFT4_Item_OrnnInfinityForce,TFT_Item_MadredsBloodrazor,TFT_Item_LastWhisper,2.0,TFT7_Item_ShimmerscaleGoldmancersStaff,1.0,TFT7_Item_TrainerSnax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TFT_Item_WarmogsArmor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TFT_Item_TitanicHydra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC1_526336654,3,TFT6_Augment_BlueBattery2,TFT6_Augment_LudensEcho1,TFT6_Augment_SecondWind2,0.0,,1.0,0.0,,,2.0,0.0,0.0,1.0,,1.0,0.0,0.0,,2.0,2.0,TFT_Item_SeraphsEmbrace,,,2.0,TFT_Item_BFSword,,,2.0,TFT_Item_GuinsoosRageblade,TFT_Item_MadredsBloodrazor,TFT_Item_Quicksilver,2.0,TFT_Item_GargoyleStoneplate,TFT_Item_DragonsClaw,,,,,,,,,0.0,,,1.0,,,,2.0,TFT_Item_ZekesHerald,,,,,,,4.0,TFT7_Item_TrainerSnax,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC1_526336654,5,TFT7_Augment_AxiomArc2,TFT6_Augment_PandorasItems,TFT7_Augment_MirageEmblem,,,,,,1.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,2.0,2.0,,,,1.0,TFT_Item_RunaansHurricane,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,TFT_Item_SeraphsEmbrace,,,,,,3.0,TFT_Item_IonicSpark,TFT_Item_Redemption,TFT_Item_WarmogsArmor,TFT7_Item_MirageEmblemItem,TFT_Item_TitansResolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TFT7_Item_MirageEmblemItem,,,,,TFT_Item_DragonsClaw,,,,,,,,,,,,TFT_Item_RedBuff,,,,,,,,,,,,,,,,,
OC1_526336654,2,TFT7_Augment_Bloodlust1,TFT6_Augment_ThrillOfTheHunt1,TFT7_Augment_BestFriends2,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,3.0,2.0,,,,,2.0,TFT_Item_RedBuff,,,,,,,0.0,,,3.0,TFT_Item_Deathblade,TFT_Item_GuinsoosRageblade,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,TFT_Item_Quicksilver,TFT7_Item_WhispersEmblemItem,TFT_Item_SparringGloves,,2.0,2.0,,1.0,TFT_Item_JeweledGauntlet,TFT_Item_TitansResolve,TFT_Item_Bloodthirster,1.0,TFT_Item_StatikkShiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC1_526336654,4,TFT6_Augment_PortableForge,TFT6_Augment_SecondWind1,TFT7_Augment_JadePenitence,,,,,1.0,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,3.0,TFT7_Item_DragonmancerEmblemItem,TFT_Item_SpearOfShojin,TFT_Item_ArchangelsStaff,2.0,TFT4_Item_OrnnRocketPropelledFist,TFT_Item_RedBuff,,1.0,TFT_Item_GuardianAngel,TFT_Item_MadredsBloodrazor,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,TFT_Item_ChainVest,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,1.0,TFT_Item_ZekesHerald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TFT_Item_Morellonomicon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC1_526336654,1,TFT7_Augment_MikaelsGift,TFT6_Augment_Weakspot,TFT6_Augment_ComponentGrabBag,2.0,,2.0,,,,,0.0,,0.0,0.0,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,1.0,3.0,TFT7_Item_AssassinEmblemItem,TFT_Item_RapidFireCannon,TFT_Item_InfinityEdge,2.0,,,,3.0,TFT_Item_FrozenHeart,1.0,TFT_Item_HextechGunblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,TFT_Item_Quicksilver,,,,TFT_Item_FrozenHeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TFT_Item_InfinityEdge,,,TFT_Item_LocketOfTheIronSolari,TFT_Item_ZekesHerald,TFT_Item_LastWhisper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC1_526336654,7,TFT6_Augment_CelestialBlessing2,TFT6_Augment_FirstAidKit,TFT6_Augment_JeweledLotus,,,1.0,0.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,,2.0,2.0,,,,,,,,2.0,TFT_Item_GuinsoosRageblade,TFT_Item_InfinityEdge,TFT_Item_MadredsBloodrazor,2.0,TFT_Item_MadredsBloodrazor,TFT7_Item_ShimmerscaleGoldmancersStaff,TFT_Item_GuardianAngel,2.0,TFT_Item_RedBuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,TFT_Item_LastWhisper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC1_526353647,1,TFT6_Augment_Electrocharge1,TFT6_Augment_ThrillOfTheHunt1,TFT6_Augment_SecondWind2,0.0,1.0,1.0,1.0,,,4.0,0.0,0.0,1.0,,1.0,0.0,1.0,,2.0,2.0,TFT_Item_Morellonomicon,,,2.0,TFT_Item_FrozenHeart,TFT_Item_JeweledGauntlet,TFT_Item_LastWhisper,2.0,TFT_Item_GuinsoosRageblade,TFT_Item_TitansResolve,TFT_Item_Quicksilver,2.0,TFT_Item_WarmogsArmor,,,,,,,2.0,TFT_Item_TearOfTheGoddess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,,,,,,,1.0,TFT_Item_GuardianAngel,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC1_526353647,3,TFT7_Augment_BruiserTrait,TFT6_Augment_Recombobulator,TFT6_Augment_Meditation2,,,2.0,0.0,1.0,,,0.0,,2.0,,1.0,1.0,0.0,,2.0,2.0,,,,,,,,2.0,TFT_Item_GuardianAngel,TFT_Item_MadredsBloodrazor,TFT_Item_GuinsoosRageblade,2.0,TFT_Item_Zephyr,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,2.0,,,,,,,,,0.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,TFT_Item_RedBuff,TFT_Item_WarmogsArmor,TFT_Item_UnstableConcoction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TFT_Item_Zephyr,,,,,,,,,,,TFT_Item_TitanicHydra,TFT_Item_LocketOfTheIronSolari,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC1_526353647,5,TFT6_Augment_SecondWind1,TFT6_Augment_MakeshiftArmor1,TFT6_Augment_ComponentGrabBag,1.0,,,0.0,,,2.0,,,1.0,,1.0,1.0,,2.0,,2.0,,,,2.0,TFT_Item_InfinityEdge,TFT_Item_UnstableConcoction,TFT_Item_Deathblade,2.0,TFT_Item_MadredsBloodrazor,TFT_Item_Quicksilver,TFT_Item_GuinsoosRageblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,2.0,TFT_Item_ZekesHerald,TFT_Item_PowerGauntlet,,,,,,,1.0,TFT_Item_Zephyr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TFT_Item_FrozenHeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC1_526353647,4,TFT6_Augment_SecondWind1,TFT6_Augment_MakeshiftArmor1,TFT7_Augment_DragonHorde,,,,,2.0,0.0,,,1.0,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,2.0,TFT_Item_GargoyleStoneplate,TFT_Item_RedBuff,TFT_Item_TitansResolve,,,,0.0,,,0.0,,,,2.0,TFT_Item_PowerGauntlet,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,TFT_Item_ThiefsGloves,TFT_Item_Bloodthirster,TFT_Item_DragonsClaw,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,1.0,TFT_Item_ThiefsGloves,,,,,,,,,,TFT_Item_RunaansHurricane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TFT_Item_MadredsBloodrazor,,TFT7_Item_ShimmerscaleGamblersBlade,TFT_Item_TearOfTheGoddess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,TFT_Item_GuinsoosRageblade,TFT_Item_MadredsBloodrazor,TFT_Item_UnstableConcoction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC1_526353647,2,TFT7_Augment_MageTrait,TFT6_Augment_LudensEcho1,TFT6_Augment_Ascension,,,1.0,0.0,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,,,,2.0,TFT_Item_StatikkShiv,,,,,2.0,TFT7_Item_MageEmblemItem,4.0,TFT7_Item_TrainerSnax,3.0,0.0,,,,,2.0,TFT_Item_RedBuff,TFT_Item_GargoyleStoneplate,TFT_Item_DragonsClaw,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,3.0,TFT_Item_ArchangelsStaff,TFT_Item_SpearOfShojin,TFT_Item_ArchangelsStaff,,,,,,3.0,TFT_Item_NegatronCloak,,,,,,,,,,,,2.0,,1.0,,,,,1.0,TFT_Item_RapidFireCannon,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TFT_Item_UnstableConcoction,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC1_526353647,7,TFT7_Augment_GuardianTrait,TFT6_Augment_Electrocharge1,TFT7_Augment_GuildGearUpgrades,1.0,,1.0,1.0,,0.0,3.0,0.0,,1.0,,1.0,1.0,0.0,1.0,2.0,2.0,TFT_Item_GargoyleStoneplate,TFT_Item_Morellonomicon,,2.0,TFT_Item_UnstableConcoction,TFT_Item_InfinityEdge,,2.0,TFT_Item_GuinsoosRageblade,TFT_Item_MadredsBloodrazor,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,TFT_Item_ZekesHerald,TFT_Item_Chalice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TFT_Item_NegatronCloak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC1_526353647,6,TFT6_Augment_TinyTitans,TFT6_Augment_ItemGrabBag1,TFT6_Augment_JeweledLotus,,,1.0,,1.0,,,0.0,1.0,,0.0,,2.0,,,,,,,,,,,,,,,,2.0,TFT_Item_RunaansHurricane,TFT_Item_RecurveBow,,,,,,,,,0.0,,,1.0,,,,2.0,,,,,,,,4.0,TFT7_Item_TrainerSnax,1.0,0.0,,,,,2.0,TFT_Item_GargoyleStoneplate,TFT_Item_GargoyleStoneplate,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,1.0,TFT_Item_StatikkShiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TFT_Item_SpearOfShojin,1.0,TFT_Item_InfinityEdge,TFT_Item_RabadonsDeathcap,TFT_Item_SpearOfShojin,,,,,,,,,,,,,,,,,,TFT_Item_GuinsoosRageblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC1_526353647,8,TFT6_Augment_ItemGrabBag1,TFT6_Augment_CelestialBlessing1,TFT6_Augment_SecondWind2,,,1.0,,,0.0,1.0,0.0,,1.0,,1.0,0.0,0.0,,2.0,,,,,,,,,2.0,TFT_Item_GuinsoosRageblade,TFT_Item_LastWhisper,TFT_Item_Deathblade,1.0,TFT_Item_RedBuff,TFT_Item_Redemption,,,,,,,,,0.0,0.0,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
